title,author,final_price,jumlah halaman,penerbit,tanggal terbit,berat,isbn,lebar,bahasa,panjang,image_url,description,affiliate_url
"Buku Sakti Pemrograman Python : Untuk Mengelola, Menganalisis, dan Memaparkan Data secara Akurat","Adam Saputra, S.Si.",Rp 59.850,154,Anak Hebat Indonesia,"December 5, 2022",0.13,9786234003000,14,Indonesia,20,https://cdn.gramedia.com/uploads/picture_meta/2022/12/6/ydj3mchbckhaobmd2e23tp.jpg,"Merasa ketinggalan zaman karena tidak bisa Python? Atau merasa ketinggalan karena Python sekarang

digunakan di mana saja dan untuk kepentingan apa saja? Nah, Python ini dalam dunia profesional pengolahan dan pemaparan data sangatlah penting.

Apalagi untuk analisis data dan proyeksi ke depan (machine Learning). Saat ini, menjadi seorang analisis data yang andal sepertinya wajib dimulai dengan mempelajari pemrograman Python. Mengingat gaya pemrograman Python sangatlah fleksibel dan dapat disesuaikan dengan keinginan dan kebutuhan Anda. 2

) Buku ini menyajikan secara komprehensif dan sistematis dalam mempelajari bahasa pemrograman Python dari nol. Anda akan belajar materi-materi, seperti sintaksis dasar dan tipe data dalam Python, operator dalam Python, List-tuple-setdictionary, Loops, Pandas, dan lain-lain. Menurut Tiobe Index (bulan Oktober 2022), Python adalah bahasa pemrograman nomor 1 yang paling populer di seluruh dunia. So, kamu wajib belajar Python sekarang juga!
Python bukan hanya bahasa pemrograman tingkat tinggi untuk tujuan umum tetapi juga mudah dibaca. Dalam dunia profesional pengolahan dan pemaparan data sangatlah penting demi kesehatan suatu instansi maupun perusahaan. Saat ini, menjadi seorang analisis data yang andal dapat dimulai dengan mempelajari pemrograman python. Mengingat gaya pemrograman python sangatlah fleksibel dan dapat disesuaikan dengan keinginan dan kebutuhan Anda.

Buku ini menyajikan secara komprehensif dan sistematis dalam mempelajari bahasa pemrograman python dari nol. Melalui buku ini, Anda akan belajar materi-materi, seperti sintaksis dasar dan tipe data dalam python , operator dalam python , list-tuple-set-dictionary, loops, pandas, dan lain-lain. Maka dari itu, mulailah belajar bahasa pemrograman python sekarang juga melalui buku ini sehingga Anda bisa lebih menguasai bahasa pemrograman ini secara cepat dan siap terjun untuk mengolah data secara lebih baik lagi.",https://aff.gramedia.com/s/GwJZjBPQXV
Semua Bisa Menjadi Programmer Web Python Basic (Django 3.2),"IR. YUNIAR SUPARDI, RAHMAT ARIF MS, S.KOM, DAN ASEP MURTAMI S.KOM and Ir. Yuniar Supardi, Rahmat Arif MS, S.Kom, dan Asep Murtami S.Kom",Rp 79.000,240,Elex Media Komputindo,"October 15, 2021",0.0,SCOOPG233092,0.0,ind,0.0,https://cdn.gramedia.com/uploads/items/9786230027895.jpg,"Buku berjudul Semua Bisa Menjadi Programmer Web Python Basic (Django 3.2) ini membuktikan bahasa pemrograman Python menjadi bahasa nomor satu di dunia dan akan menjadi bahasa pemrograman masa depan. Bahasa pemrograman ini menjadi bahasa yang sangat efisien dan efektif dalam membuat aplikasi, baik desktop maupun web. 

Buku ini disusun dengan sistematika yang baik, sehingga pembaca dapat dengan mudah belajar dan menjadi webmaster dengan bahasa Django Python. Dalam buku ini penulis menggunakan Python versi 3.7 dan Django 3.2. Penulis juga memperlihatkan cara instalasi Python dan Django 3.2 sehingga Anda mengetahui cara pengaturannya sebelum membuat web dengan Django. Walaupun buku ini difokuskan untuk belajar dasar Django, tetapi penulis juga memberikan pembahasan Web Django memakai database. 

Topik yang dibahas dalam buku ini mencakup: 
Sekilas Python dan Django
Project Django 
Pengenalan View
Web Dasar MyName 
Membuat Templates 
Membuat App (Aplikasi) 
URL di App 
Template di App 
Template Variabel 
Template Tag 
Menggunakan Bootstrap & JavaScript 
Menggunakan Database SQLITE3
Program Login di Administrator 
Membuat Models (Tabel)
Query Models 
Python Shell 
Relasi One ToOne Models 
Relasi Many ToMany Models 
dan lain-lain.

Detail Informasi:
Judul : Semua Bisa Menjadi Programmer Web Python Basic (Django 3.2)
Penulis : Ir. Yuniar Supardi, Rahmat Arif MS, S.Kom, Asep Murtami, S.Kom
Penerbit : Elex Media Komputindo 
Bahasa : Bahasa Indonesia 
Tahun Terbit : September 2021
Berat : 0.3 kg
Dimensi : 14 x 21 cm
Jumlah Halaman : 236 halaman
Jenis Cover : Soft Cover
ISBN : 9786230027895",
Koleksi Program Database Python,Unknown,Not available,,Elex Media Komputindo,,,,,,,https://cdn.gramedia.com/uploads/items/721050449_Cover_Koleksi_Program_Database_Python.jpg,"Python dikembangkan Guido van Rossum pada tahun 1990 di CWI (Institute Centrum Wiskunde & Informatica) Amsterdam. Python adalah bahasa pemrograman yang masih terus berkembang dan populer. Bahasa pemrograman Python dapat digunakan untuk pengembangan perangkat lunak di berbagai platform sistem operasi.

Buku berjudul Koleksi Program Database Python ini merupakan buku kumpulan program-program Python menggunakan database SQLite dan MySQL. Dalam buku ini penulis menggunakan beberapa versi Python, antara lain 2.5, 3.8.8, dan 3.9. Pada buku ini penulis juga memberikan secara lengkap dan rinci persiapan, instalasi, dan pengaturan perangkat lunak dalam kode program Python. Python versi 3.9 sudah tidak dapat digunakan untuk sistem operasi Windows 7.

Topik yang dibahas dalam buku ini mencakup:
Pengertian Database
Program Teks Python dengan SQLite
Program GUI Python dengan SQLite
Program Teks Python dengan MySQL
Program Insert Data Memakai PyQT5
Program GUI Python dengan MySQL
Program Database Memakai PyQT5
Program Login Sederhana dengan PyQT5
Program Melihat Data dengan PyQT5
Program Kamus Sederhana
Program Hitung Umur
Program Biodata
Program Pencarian AutoText
Program Penjualan
Program Laporan Penjualan
dan lain-lain. 

Detail
Penulis  : Ir. Yuniar Supardi, Ugan Suganda S.Kom, M. Al Kahfi, dan    Dede Sofyan
ISBN    : 9786230027109
Penerbit   : Elex Media Komputindo
Tahun Terbit   : 2021
Jumlah Halaman  : 244 halaman
Berat    : 300 gram
Jenis Cover   : Soft Cover
Dimensi   : 14 x 21 cm
Bahasa   : Bahasa Indonesia
Kategori   : Komputer & Teknologi - Pemrograman",https://aff.gramedia.com/s/zLImVxIGJQ
Implementasi Algoritma Dalam Bahasa Python,WENDI ZARMAN & MOCHAMAD FAJAR WICAKSONO,Rp 81.000,350.0,Informatika,"July 19, 2020",0.375,9786237131281,16.0,Indonesia,24.0,https://cdn.gramedia.com/uploads/items/Implementasi_Algoritma.jpg,"Apa itu algoritma pemrograman?
Pengertian algoritma pemrograman adalah suatu alur yang dipergunakan dalam suatu perhitungan atau pemecahan suatu masalah secara sistematis, serta dalam kegiatan pemrograman algoritma biasanya dianggap sebagai sebuah logika untuk menentukan program yang akan dibuat.

Dalam definisi lain, algoritma pemrograman adalah serangkaian proses yang wajib diikuti dalam suatu perhitungan pemecahan masalah yang lain, terutama pada program komputer. 

Algoritma pemrograman adalah suatu pemecahan masalah dengan suatu susunan yang logis berdasarkan sistematika tertentu.

Untuk menyelesaikan algoritma di pemrograman dapat dilakukan menggunakan dua cara yaitu tulisan dan gambar, namun dari dua metode itu kembali lagi kepada seorang programmer, ingin menggunakan metode yang mana.

Perbedaan algoritma dan flowchart
Mungkin beberapa dari kamu masih bingung, lantas apa yang membedakan algoritma dengan flowchart, sebab sekilas keduanya terdengar mirip. 

Nah, algoritma pemrograman adalah sebuah proses secara sistematis dan bertujuan untuk menyelesaikan masalah dengan salah satu metode penyampaiannya yaitu melalui flowchart.

Flowchart adalah sebuah gambaran atau diagram yang memiliki satu aliran atau lebih, namun hal itu hanya dapat berlaku secara sekuensial atau saling berkesinambungan.

Flowchart juga memiliki simbol-simbol tertentu yang bisa menjadi sebuah gambaran dari setiap alur yang saling terhubung dengan anak panah.

Buku ini merupakan buku ajar Algoritma Pemrograman yang didalamnya terkandung pelajaran mengenai dasar-dasar pemrograman komputer. 

Bahasa pemrograman Python digunakan karena bahasa ini sangat populer dan menjadi salah satu bahasa pemrograman terbaik untuk belajar.

Besar harapan buku ini dapat menjadi teman belajar mahasiswa sehingga dapat menguasai dasar-dasar pemrograman komputer. 

Buku ini dimulai dari pengantar Algoritma yang disertai dengan materi penunjang yaitu perangkat lunak flowgorithm. Selanjutnya, pengguna buku ini akan diperkenalkan pada struktur Algoritma yang nantinya digunakan sebagai dasar terkait implementasinya pada Bahasa pemrograman Python. 

Sehingga selain teori, pengguna buku juga dapat langsung mempraktekkannya. Materi lain pada buku ini mencakup Bahasa pemrograman Python, komponen dasar pemrograman, Percabangan, Pengulangan, Array, List, Tuple, Dictionary serta subrutin baik menggunakan prosedur maupun fungsi.

Daftar Isi : 
Bonus dalam paket : 
Informasi Lain : 
Judul : Implementasi Algoritma Dalam Bahasa Python
Penulis : WENDI ZARMAN & MOCHAMAD FAJAR WICAKSONO
Penerbit : Informatika
ISBN : 9786237131281
Terbit : 20 Juli 2020
Halaman : 350
Lebar : 16 cm
Berat : 0.375 kg",https://aff.gramedia.com/s/ESAGzPUEWP
Tip Dan Trik Program Database Python,"YUNIAR SUPARDI DAN YOGI SYARIEF, S.T., M.KOM.",Rp 65.000,224,Elex Media Komputindo,"April 1, 2020",0.0,SCOOPG195575,0.0,ind,0.0,https://cdn.gramedia.com/uploads/items/9786230014802_Cover_Depan_Tip_dan_Trik_Program_Database_Python_1.jpg,"Python adalah bahasa pemrograman yang paling populer di dunia saat ini, sedangkan MySQL adalah platform database paling banyak digunakan di seluruh dunia. Apa jadinya jika keduanya digabung untuk membuat aplikasi database?
Seperti yang kita ketahui, Python merupakan bahasa pemrograman yang mendukung hampir semua platform seperti desktop, web dan yang terbaru yaitu mobile android dengan kivy, selain itu kebanyakan penggunaan python sebagai dasar scripting untuk berbagai aplikasi.
Tentu sebagai bahasa scripting, python juga mensupport koneksi dengan database, sebagai contoh, python secara default mendukung penggunaan SQLite, dan tentu juga mensupport database lainnya seperti postgresql, mysql, ataupun database nosql seperti mongoDB dsb.
Buku dengan judul Tip dan Trik Program Database Python merupakan buku yang menjelaskan secara lengkap koneksi bahasa pemrograman dengan beberapa database popular, seperti Microsoft Access, SQLite, dan MySQL. Buku ini sebagai permintaan pembaca untuk membuat program database dengan Python untuk menambah pengetahuan dalam pembuatan program database Python. Dalam buku ini juga penulis menunjukkan koneksi Python dengan MySQLdb dan pyMySql. Dalam buku ini penulis menjelaskan kelebihan bahasa pemrograman Python dari database, desktop, dan lain-lainnya. Keunggulan buku ini memandu Anda membuat program Python dengan beberapa database, serta pembahasan mudah dan sistematik, sehingga Anda dengan mudah belajar. Penulis juga membahas instalasi XAMPP, instalasi Python 2.7, dan Pyton 3.7.4.",
Langkah Mudah Pemrograman Database Menggunakan Python dan MySQL,Abdul Kadir,Rp 99.000,376,Elex Media Komputindo,"July 23, 2023",0.5,9786230049088,2.0,,14.0,https://cdn.gramedia.com/uploads/picture_meta/2023/7/24/chhzridag2ejh4ceucv5d5.jpg,"MySQL merupakan basis data yang sangat populer digunakan. Oleh karena itu, banyak orang yang berusaha mempelajarinya. Di sisi lain, Python merupakan bahasa pemrograman yang sangat diminati saat ini untuk membuat berbagai aplikasi. Nah, buku ini mengupas dua hal tersebut. 

Dengan satu buku ini, siapa pun dapat mempelajari pemrograman Python untuk mengakses basis data MySQL dengan cepat dan mudah. Materi-materi pemrograman dan basis data dibahas langkah demi langkah untuk memudahkan dalam memahami dan sekaligus mempraktikkannya. 

Materi yang dikupas: 
• Pengenalan Python, MySQL, dan MySQL Connnector/Python; 
• Dasar Python; 
• Dasar MySQL; 
• Dasar koneksi Python dan MySQL; 
• Penanganan eksepsi operasi basis data; 
• Operasi penambahan, pembaruan, dan penghapusan data; 
• Operasi dengan fungsi dan klausa agregat; 
• Pembuatan pemakai dan pengaturan hak akses; 
• Pengaksesan MySQL melalui Graphical User Interface (GUI). 

Selling Point: Menguasai Python dan MySQL untuk Pemrograman Database dalam Waktu Singkat 

Tentang Penulis Abdul Kadir adalah penulis senior yang telah menghasilkan puluhan buku di bidang Teknologi Informasi terutama di bidang pemrograman komputer. Beberapa bukunya telah menjadi best seller. Sambil berbagi pengetahuan melalui buku, dia terus aktif melakukan berbagai riset tentang bahasa-bahasa pemrograman dan aplikasinya dan mengisi berbagai pelatihan di bidang teknologi informasi dan peningkatan motivasi diri untuk menulis artikel atau buku. Di waktu yang senggang dia menikmati alunan musik Jazz atau mengambil gambar tentang alam dan sekitarnya. Dia dapat dihubungi melalui alamat email akadir64@gmail.com.",
Pemrograman Python untuk Penanganan Big Data,Hanna Arini Parhusip,Rp 74.000,248,Andi Offset,"June 15, 2020",0.355,9786230104008,16.0,Indonesia,23.0,https://cdn.gramedia.com/uploads/items/Pemrogran_Python.jpg,"Pemrograman Python untuk Penanganan Big Data adalah buku yang ditulis oleh Hanna Arini Parhusip. Buku ini dapat memberikan panduan yang mudah bagi pemula dalam memahami Bahasa Python. Pada bagian awal, pembaca diajarkan bagaimana me-running program Python dalam sistem tanpa dan dengan Anaconda, kemudian contoh-contoh komputasi sederhana ditunjukkan agar pembaca dapat belajar memprogram dengan mudah. Selanjutnya, beberapa program terkait kasus-kasus sederhana terkait data yang masih kecil, ditampilkan beserta Teknik matematika. Selain itu, data data dari penelitian hingga Teknik pemodelan juga dijelaskan untuk meningkatkan kompetensi pembaca dalam melakukan pemodelan dan melakukan komputasi dengan Python. 

Pada bagian selanjutnya, dapat dipelajari beberapa operasi aljabar linear (bab 2), menggambar (bab 3), statistik (bab 4). Empat bab pertama memberikan dasar untuk mengenal bahasa python tingkat awal, dilengkapi dengan pemahaman matematis yang diperlukan. Bab 5 dan 6 menunjukan lebih detail bagaimana program python mengolah data yang besar terutama dalam klasifikasi data.

Pemrograman Python Untuk Penanganan Big Data ini memuat berbagai informasi yang dikemas secara jelas, lengkap, dan detail. Buku ini juga menggunakan bahasa yang mudah dipahami oleh para pembaca.

Segera miliki Buku Pemrograman Python untuk Penanganan Big Data karya Hanna Arini Parhusip ini hanya di Gramedia terdekat atau melalui Gramedia.com.

Informasi lain:
ISBN: 9786230104008
Halaman: 248
Bahasa: Indonesia 
Penulis: Hanna Arini Parhusip
Penerbit: Andi Offset
Tanggal Terbit: 16 Juni 2020
Ukuran: 23 cm x 16 cm",https://aff.gramedia.com/s/juavuIKzhv
Semua Bisa Menjadi Programmer Python Case Study,Yuniar Supardi,Rp 79.000,288,Elex Media Komputindo,"January 12, 2020",0.0,SCOOPG191014,0.0,ind,0.0,https://cdn.gramedia.com/uploads/items/9786230011689_Cov_Semua_Bisa_Menjadi_Programmer_Python_Case_Study_2.jpg,"Python adalah sebuah bahasa pemrograman yang digunakan untuk membuat aplikasi, perintah komputer, dan melakukan analisis data. Sebagai general-purpose language, Python bisa digunakan untuk membuat program apa saja dan menyelesaikan berbagai permasalahan. Selain itu, Python juga dinilai mudah untuk dipelajari. Namun, jangan salah, Python termasuk bahasa pemrograman tingkat tinggi. Tidak semua dapat memprogram Python karena memang cukup rumit terutama bagi para pemula. Oleh karena itu perlu belajar intens untuk dapat mempelajari dan memahaminya, salah satunya yaitu dengan banyak membaca buku panduan.
Buku dengan Judul Semua Bisa Menjadi Programmer Python Case Study ini merupakan buku lanjutan dari buku Semua Bisa Menjadi Programmer Python Basic yang best seller, tetapi Anda juga dapat langsung belajar dari buku ini. Dalam buku ini, Anda akan mendapat manfaat dari semua kemampuan bahasa pemrograman Python yang semakin hari semakin populer. Buku ini menjelaskan kelebihan bahasa pemrograman Python dari segi web, game, database, desktop, dan lain-lainnya. Juga memandu Anda membuat program Python dengan beberapa database, program desktop, dan game. Mudah dan sistematik dalam pembahasan, membuat Anda dengan mudah belajar dari buku ini.

Judul  : Semua Bisa Menjadi Programmer Python Case Study
Penulis : Yuniar Supardi dan Dr (CD) Dede, Skom, Mkom
Penerbit  : Elex Media Komputindo
Terbit  : 6 Januari 2020
Bahasa : Indonesia
ISBN  : 9786230011689
Berat  : 0.28 kg
Lebar  : 14 cm
Panjang : 21 cm
Tebal  : 288 Halaman",https://aff.gramedia.com/s/XGBqgqrJUt
Trik Jitu Belajar Web Python (Django 3.x),Unknown,Not available,,Elex Media Komputindo,,,,,,,https://cdn.gramedia.com/uploads/items/9786230035159_Trik_Jitu_Belajar_Web_Python_Django_3x_.jpg,"Pada zaman sekarang ini, teknologi untuk membuat website telah berkembang dengan pesat. Hal ini ditandai dengan munculnya berbagai macam web framework yang terkenal, salah satunya adalah Django.
 
Django adalah sebuah framework serba bisa untuk memudahkan programmer membuat web dengan lebih cepat menggunakan bahasa Python. Bahasa Python merupakan salah satu bahasa pemrograman yang sangat terkenal pada saat ini di samping bahasa Java, C, dan C++. Bahasa Python memiliki sintaksis yang sederhana dan mudah dimengerti, serta memiliki library dan tools yang lengkap sehingga popularitasnya semakin meningkat dari tahun ke tahun.
 
Pada mulanya, Django dibuat untuk memenuhi kebutuhan aplikasi web dari sebuah penerbit surat kabar yang bernama Lawrence Journal-World di Kansas. Perusahaan tersebut terkenal dengan deadline-nya yang ketat, konten teks yang banyak, file-file media, dan trafic yang padat sehingga dibutuhkan sebuah web framework serbaguna yang dapat menangani semua masalah itu. Oleh karena itu, dibuatlah framework Django ini pada tahun 2003 oleh dua orang web developer yang bekerja di sana, yaitu Adrian Holovaty dan Simon Willison.
 
Adrian Holovaty dan Simon Willison semula menggunakan PHP. Namun, karena perusahaan penerbitannya membutuhkan update yang sangat cepat, sulit bagi mereka untuk memenuhi deadline menggunakan PHP. Mereka membutuhkan sesuatu yang lebih cepat. Saat itulah mereka memutuskan untuk pindah ke Python. Mereka mulai mengerjakan sebuah web framework untuk membuat pengkodean menjadi lebih sederhana dan efektif. Web framework itu dinamakan Django, sebuah nama yang diambil dari nama gitaris Django Reinhardt.
 
Pada tahun 2005, Django sudah dirilis secara publik sebagai proyek open source. Pada kenyataannya, Django tidak hanya dapat memenuhi kebutuhan dari perusahaan penerbit surat kabar saja, tetapi juga Django dapat digunakan untuk membuat platform ilmiah, platform keuangan, social networks, content management system, dan lain-lain. Django dapat bekerja dengan berbagai macam basis data populer, misalnya SQLite, MySQL, PostgreSQL, dan Oracle serta dapat menjalankan beberapa basis data yang berbeda dalam waktu bersamaan. Selain itu, Django juga bersifat cross platform sehingga dapat digunakan pada berbagai macam sistem operasi seperti Windows, MacOS, Linux, dan lain-lain.
 
Bagi Anda yang ingin mempelajari dan membuat web Django, buku “Trik Jitu Belajar Web Python (Django 3.x)” akan membantu Anda dalam menjelaskan secara lengkap apa itu web Django dengan tips dan trik yang mudah untuk diikuti.
 
Sinopsis
Buku dengan Judul Trik Jitu Belajar Web Python (Django 3.x) ini merupakan buku yang berisi tentang trik dan tip untuk membuat web dengan Python (Django 3.10.4) memakai database MySQL dan SQLite. Buku ini memakai teknik perulangan, sehingga memudahkan Anda untuk mengingat dan memperlancar pembuatan web memakai Django. Dalam buku ini penulis memakai database SQLite yang merupakan database bawaan sistem Django serta database MySQL yang sangat populer.
 
Yuk segera dapatkan buku ini di Gramedia!",https://aff.gramedia.com/s/kdUrceGCMS
Python untuk Programmer Pemula,Jubilee Enterprise,Rp 79.000,256,Elex Media Komputindo,"April 8, 2019",0.0,SCOOPG175207,0.0,ind,0.0,https://cdn.gramedia.com/uploads/items/9786020496894_Cover2_Python.jpg,"Python adalah bahasa pemrograman interpretatif multiguna. Tidak seperti bahasa pemrogaman lain yang susah untuk dibaca dan dipahami, python lebih menekankan pada keterbacaan kode agar lebih mudah untuk memahami sintaks. Hal ini membuat Python sangat mudah dipelajari baik untuk pemula maupun untuk yang sudah menguasai bahasa pemrograman lain.
Setiap orang yang mau belajar pemrograman akan jatuh cinta dengan Python. Mengapa? Karena mudah dipelajari sekaligus sangat prospektif untuk karier di masa depan. Dengan mengandalkan kemudahan cara menulis baris perintah dan didukung ribuan modul siap-pakai, Python termasuk bahasa pemrograman yang ramah bagi para pemula dan orang awam, baik bagi pengguna MS Windows maupun Linux. 

Buku berjudul Python untuk Programmer Pemula yang disusun oleh Jubilee Enterprise ini adalah salah satu referensi yang dapat menjadi teman yang baik bagi para pemula untuk mengenal pemrograman. Bahasa di dalam buku ini adalah seputar dasar-dasar Python dan pemrograman database menggunakan Python serta MySQL. Dengan begitu, ilmu yang dipelajari di buku ini sangat penting untuk memahami prinsip dan kaidah pemrograman serta peluang-peluang Python di masa depan. Topik yang akan dipelajari adalah bagaimana menginstal tool, Python, struktur program, fungsi, percabangan dan perulangan, penggunaan modul, serta bahasa pemrograman Python dan MySQL untuk mengelola database. Semua dibahas dan disusun dalam bahasa yang mudah dipahami oleh para pemula.",https://aff.gramedia.com/s/AEzURrxVBf
Belajar Pemrograman Python untuk Guru dan Murid,Jubilee Enterprise,Rp 59.000,208,Elex Media Komputindo,"March 1, 2022",0.0,9786230031342,0.0,ind,0.0,https://cdn.gramedia.com/uploads/items/722050162_Cov_Belajar_Pemrograman_Python_untuk_Guru_dan_Murid.jpg,"Bahasa pemrograman perlu diperkenalkan sejak dini, terutama bagi kalangan guru dan murid, agar bisa menjawab tantangan zaman. Tidak lama lagi, hidup manusia sudah tidak bisa dilepaskan lagi dengan berbagai macam terminology canggih seperti aplikasi, kecerdasan buatan, machine learning, big data, dan lain sebagainya. Agar para guru dan murid dapat berinvestasi demi masa depan, maka dianjurkan untuk mempelajari bahasa pemrograman Python sejak awal. Hal itu sangat penting

Buku Belajar Pemrograman Python untuk Guru dan Murid ini mengupas langkah-langkah sistematis untuk masuk ke dalam pemrograman Python dengan isi materi sebagai berikut: 
• Mengenal bahasa pemrograman Python. 
• Dasar-dasar pemrograman Python dan pengenalan operator. 
• Fungsi dan user input pada Python. 
• Struktur perulangan dan kondisional if pada Python. 
• Bekerja dengan list, tuple, dan dictionary. 
• Mengatasi error menggunakan exception. 
• Bekerja dengan file dan string. 
• Berlatih logika menggunakan Python. 
• Tugas-tugas dan kuis-kuis seputar Python. 

Diharapkan setelah membaca buku ini, para guru dan murid dapat mengetahui dan menggunakan bahasa pemrograman Python untuk mengembangkan aplikasi yang bermanfaat bagi masyarakat banyak. (Thinkjubilee.com)

Beli dan belajar bukunya hanya di Gramedia ya !

Detail
Penulis
Jubilee Enterprise

Jumlah Halaman
208

Penerbit
Elex Media Komputindo

Tanggal Terbit
28 Feb 2022

Format
Soft Cover & EBook

Berat
0.19 kg

ISBN
9786230031342

Lebar
14.0 cm

Bahasa
Indonesia

Panjang
21.0cm",
Klasifikasi Teks Dengan Python,"Eka Dyar Wahyuni, Dkk",Rp 99.000,214.0,Indomedia Pustaka,"October 4, 2021",0.335,9786237889731,17.0,Indonesia,24.0,https://cdn.gramedia.com/uploads/items/9786237889731.jpg,"Saat ini kita berada di era informasi, dimana data memegang peranan penting didalamnya. Data ini sendiri bentuknya macam-macam, bisa berupa data terstruktur maupun tidak terstruktur. Di era ini, aplikasi media sosial mulai berkembang dengan pesat. Keberadaan aplikasi ini, secara perlahan mulai mengubah perilaku manusia, yang awalnya lebih aktif, senang berbincang-bincang atau ngobrol ketika berternu. Sekarang berubah menjadi lebih pasif, meskipun pada kenyataannya sedang berhadap-hadapan, mereka lebih sibuk dengan gawainya masing-masing, asyik dengan aplikasi media sosialnya. Tidak dapat dipungkiri lagi, aplikasi medsos kini telah berfungsi sebagai tempat untuk bersosialisasi. Uniknya, medsos ini tidak hanya digunakan untuk melihat konten (hiburan),
tapi juga berfungsi sebagai wadah untuk membeli bahkan menjual barang. Medsos inilah penyumbang terbesar data yang bertipe tidak terstruktur.

Materi yang dibahas dalam buku ini adalah
Bab 1 Pengenalan Text Mining dan Klasifikasi Teks
Bab 2 Ekstraksi Data
Bab 3 Exploratory Data Analysis (EDA)
Bab 4 Pra Proses Teks
Bab 5 Pembobotan Fitur
Bab 6 Pembagian Dataset
Bab 7 Pembangunan Model dalam Klasifikasi Teks
Bab 8 Evaluasi Model

Detail Buku
Judul: Klasifikasi Teks Dengan Python
Penulis: Eka Dyar Wahyuni M.Kom, Amalia Anjani Afiriyanti M.Kom, dan Mohammad Irwan Afandi ST.MSc
Jumlah Halaman: 214 hlm
Tahun Terbit: 2021
Penerbit: Indomedia Pustaka
ISBN: 9786237889731
Bahasa: Indonesia
Berat Buku: 0,335 kg
Dimensi Buku: 17 cm x 24 cm",https://aff.gramedia.com/s/epuvFJvgRy
From Zero to a Pro: Arduino - Panduan Mempelajari Pembuatan Aneka Proyek Berbasis Mikrokontroler,Abdul Kadir,Rp 162.000,496,Andi Publisher,"December 12, 2018",0.835,9789792966459,19.0,Indonesia,23.0,https://cdn.gramedia.com/uploads/items/9789792966459_From-Zero-To-A-Pro--ArduinoCD-Edisi-Revisi.jpg,"Pada era digital saat ini pembuatan perangkat berkembang sangat pesat. Ada banyak model pengembangan software yang dapat kita pilih, masing-masing menampilkan dasar-dasar sistem dan pendekatan yang berbeda. Hal tersebut berpengaruh terhadap cara kerja dan proses pengaturannya terhadap proyek tertentu.
 
Salah satu, perangkat yang saat ini paling banyak dicari tahu bagaimana cara penggunaannya adalah Arduino. Arduino merupakan sebuah perangkat elektronik yang bersifat open source dan sering digunakan untuk merancang dan membuat perangkat elektronik serta software yang mudah untuk digunakan. Arduino ini dirancang sedemikian rupa untuk mempermudah penggunaan perangkat elektronik di berbagai bidang.
 
Bagi Anda yang memiliki ketertarikan dalam pembuatan perangkat, khususnya untuk mengetahui apa itu arduino? dan bagaimana cara penggunaannya? Buku From Zero to a Pro: Arduino - Panduan Mempelajari Pembuatan Aneka Proyek Berbasis Mikrokontroler adalah jawabanya!
 
Buku “From Zero to a Pro: Arduino - Panduan Mempelajari Pembuatan Aneka Proyek Berbasis Mikrokontroler” adalah buku yang menarik dan wajib dimiliki bagi anda yang ingin mempelajari penggunaan Arduino untuk membuat berbagai proyek elektronika berbasis mikrokontroler. Cocok digunakan mahasiswa Teknik Elektro, Teknik Informatika, Teknik Komputer, Sistem Komputer, Teknologi Informasi, atau siapa saja yang ingin mempelajari Arduino secara mandiri. Buku ini juga membahas cara untuk mengubah mobil R/C menjadi mobil yang dapat dikendalikan oleh Arduino sehingga memungkinkan pemasangan ultrasonik untuk menghindari tabrakan dengan objek yang berada di depannya. Penggunaan penampilan OLED dan TFT LCD ikut dikupas.
 
Yuk segera dapatkan bukunya di Gramedia!",https://aff.gramedia.com/s/QDWZxeHnxS
